"filename", "language", "MSBuild", "C#", "CSS", "EditorConfig", "JSON", "HTML", "XML", "JavaScript", "SQL", "HTTP", "Solution File", "Log", "comment", "blank", "total"
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\EmailBody.cs", "C#", 0, -148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -158
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\Extensions.cs", "C#", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -21
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\GetAucReq.cs", "C#", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -26
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\IDailycoService.cs", "C#", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\IEmailService.cs", "C#", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\PaymentUtils.cs", "C#", 0, -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -67
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\appsettings.Development.json", "JSON", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\appsettings.json", "JSON", 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, 0, 0, -1, -37
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\Aukcionas.deps.json", "JSON", 0, 0, 0, 0, -2668, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2668
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\Aukcionas.runtimeconfig.json", "JSON", 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\appsettings.json", "JSON", 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, 0, 0, -1, -37
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Aukcionas.csproj.EntityFrameworkCore.targets", "MSBuild", -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -29
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Aukcionas.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, -137, 0, 0, 0, 0, 0, 0, 0, 0, 0, -137
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Aukcionas.csproj.nuget.g.props", "MSBuild", -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -32
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Aukcionas.csproj.nuget.g.targets", "MSBuild", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -5
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Debug\net8.0\Aukcionas.AssemblyInfo.cs", "C#", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -5, -24
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Debug\net8.0\Aukcionas.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Debug\net8.0\Aukcionas.GlobalUsings.g.cs", "C#", 0, -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -18
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Debug\net8.0\Aukcionas.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -5, -19
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Debug\net8.0\staticwebassets\msbuild.build.Aukcionas.props", "MSBuild", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.Aukcionas.props", "MSBuild", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.Aukcionas.props", "MSBuild", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\project.assets.json", "JSON", 0, 0, 0, 0, -7370, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7370
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\AuctionStatusServiceTests.cs", "C#", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AdminController.html", "HTML", 0, 0, 0, 0, 0, 316, 0, 0, 0, 0, 0, 0, 0, 8, 324
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AiModel.html", "HTML", 0, 0, 0, 0, 0, 804, 0, 0, 0, 0, 0, 0, 0, 8, 812
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AiModelv2.html", "HTML", 0, 0, 0, 0, 0, 840, 0, 0, 0, 0, 0, 0, 0, 8, 848
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AiModelv3.html", "HTML", 0, 0, 0, 0, 0, 839, 0, 0, 0, 0, 0, 0, 0, 8, 847
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AiModelv4.html", "HTML", 0, 0, 0, 0, 0, 838, 0, 0, 0, 0, 0, 0, 0, 8, 846
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AiModelv5.html", "HTML", 0, 0, 0, 0, 0, 830, 0, 0, 0, 0, 0, 0, 0, 8, 838
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AiModelv6.html", "HTML", 0, 0, 0, 0, 0, 903, 0, 0, 0, 0, 0, 0, 0, 8, 911
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AiModelv7.html", "HTML", 0, 0, 0, 0, 0, 851, 0, 0, 0, 0, 0, 0, 0, 8, 859
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AiModelv8.html", "HTML", 0, 0, 0, 0, 0, 862, 0, 0, 0, 0, 0, 0, 0, 8, 870
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Auction.html", "HTML", 0, 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 8, 310
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AuctionController.html", "HTML", 0, 0, 0, 0, 0, 725, 0, 0, 0, 0, 0, 0, 0, 8, 733
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AuctionForPrediction.html", "HTML", 0, 0, 0, 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 8, 323
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AuctionRatingPrediction.html", "HTML", 0, 0, 0, 0, 0, 313, 0, 0, 0, 0, 0, 0, 0, 8, 321
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AuctionRecommender.html", "HTML", 0, 0, 0, 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 8, 345
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AuctionStatusChecker.html", "HTML", 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 8, 213
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AuctionStatusService.html", "HTML", 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 8, 272
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AuthController.html", "HTML", 0, 0, 0, 0, 0, 550, 0, 0, 0, 0, 0, 0, 0, 8, 558
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_AuthDbSeeder.html", "HTML", 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 8, 232
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_BiddingHub.html", "HTML", 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 8, 289
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Chat.html", "HTML", 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 8, 175
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_ChatController.html", "HTML", 0, 0, 0, 0, 0, 369, 0, 0, 0, 0, 0, 0, 0, 8, 377
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_ChatFunction.html", "HTML", 0, 0, 0, 0, 0, 858, 0, 0, 0, 0, 0, 0, 0, 8, 866
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_ChatFunctionv2.html", "HTML", 0, 0, 0, 0, 0, 1050, 0, 0, 0, 0, 0, 0, 0, 8, 1058
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_ChatFunctionv3.html", "HTML", 0, 0, 0, 0, 0, 990, 0, 0, 0, 0, 0, 0, 0, 8, 998
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_ChatFunctionv4.html", "HTML", 0, 0, 0, 0, 0, 1055, 0, 0, 0, 0, 0, 0, 0, 8, 1063
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Chatfunctionv5.html", "HTML", 0, 0, 0, 0, 0, 963, 0, 0, 0, 0, 0, 0, 0, 8, 971
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_CloudStorageService.html", "HTML", 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 0, 8, 280
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_CollectData.html", "HTML", 0, 0, 0, 0, 0, 864, 0, 0, 0, 0, 0, 0, 0, 8, 872
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Comment.html", "HTML", 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 8, 266
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_DailycoService.html", "HTML", 0, 0, 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 0, 8, 285
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_DataContext.html", "HTML", 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 8, 204
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_DataContextModelSnapshot.html", "HTML", 0, 0, 0, 0, 0, 887, 0, 0, 0, 0, 0, 0, 0, 8, 895
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_DecodedPaymentToken.html", "HTML", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 8, 167
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_EmailBody.html", "HTML", 0, 0, 0, 0, 0, 335, 0, 0, 0, 0, 0, 0, 0, 8, 343
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_EmailConfirm.html", "HTML", 0, 0, 0, 0, 0, 643, 0, 0, 0, 0, 0, 0, 0, 8, 651
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_EmailConfirmfix.html", "HTML", 0, 0, 0, 0, 0, 640, 0, 0, 0, 0, 0, 0, 0, 8, 648
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_EmailConfirmfixv2.html", "HTML", 0, 0, 0, 0, 0, 638, 0, 0, 0, 0, 0, 0, 0, 8, 646
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_EmailModel.html", "HTML", 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 8, 195
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_EmailService.html", "HTML", 0, 0, 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 0, 8, 223
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Extensions.html", "HTML", 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 8, 194
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_FixPRoblem.html", "HTML", 0, 0, 0, 0, 0, 709, 0, 0, 0, 0, 0, 0, 0, 8, 717
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_ForumRestUser.html", "HTML", 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 8, 217
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_ForumRoles.html", "HTML", 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 8, 184
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_GCSConfigOptions.html", "HTML", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 8, 170
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_GetAucReq.html", "HTML", 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 8, 202
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Init.html", "HTML", 0, 0, 0, 0, 0, 612, 0, 0, 0, 0, 0, 0, 0, 8, 620
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_JwtTokenService.html", "HTML", 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 8, 222
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_LivestreamController.html", "HTML", 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 8, 263
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_LoginDto.html", "HTML", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 8, 170
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Message.html", "HTML", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 8, 177
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_PasswordReset.html", "HTML", 0, 0, 0, 0, 0, 636, 0, 0, 0, 0, 0, 0, 0, 8, 644
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_PayPalAccessToken.html", "HTML", 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 8, 173
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Payment.2.html", "HTML", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 8, 201
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Payment.html", "HTML", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 8, 201
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_PaymentController.html", "HTML", 0, 0, 0, 0, 0, 477, 0, 0, 0, 0, 0, 0, 0, 8, 485
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_PaymentUtils.html", "HTML", 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 8, 244
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_PaymentV3.html", "HTML", 0, 0, 0, 0, 0, 777, 0, 0, 0, 0, 0, 0, 0, 8, 785
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_PaymentV4.html", "HTML", 0, 0, 0, 0, 0, 770, 0, 0, 0, 0, 0, 0, 0, 8, 778
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_PaypalConfirmation.html", "HTML", 0, 0, 0, 0, 0, 711, 0, 0, 0, 0, 0, 0, 0, 8, 719
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Photos.html", "HTML", 0, 0, 0, 0, 0, 811, 0, 0, 0, 0, 0, 0, 0, 8, 819
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_RecommendationService.html", "HTML", 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 8, 207
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Recommendations.html", "HTML", 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 8, 184
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_RegisterUserDto.html", "HTML", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 8, 170
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Report.2.html", "HTML", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 8, 177
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_Report.html", "HTML", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 8, 177
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_ReportController.html", "HTML", 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 0, 0, 0, 8, 355
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_ResetPasswordDto.html", "HTML", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 8, 171
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_ResourceOwnerAuthorizationHandler.html", "HTML", 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 8, 194
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_RomovedPaypalEmail.html", "HTML", 0, 0, 0, 0, 0, 708, 0, 0, 0, 0, 0, 0, 0, 8, 716
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_SuccessfulLoginDto.html", "HTML", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 8, 170
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_UpdatePayment.html", "HTML", 0, 0, 0, 0, 0, 758, 0, 0, 0, 0, 0, 0, 0, 8, 766
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_UserDto.html", "HTML", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 8, 170
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_UserInfo.html", "HTML", 0, 0, 0, 0, 0, 862, 0, 0, 0, 0, 0, 0, 0, 8, 870
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_UserRecommendations.html", "HTML", 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 8, 169
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_auctionComments.html", "HTML", 0, 0, 0, 0, 0, 702, 0, 0, 0, 0, 0, 0, 0, 8, 710
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_auctionCommentsv2.html", "HTML", 0, 0, 0, 0, 0, 731, 0, 0, 0, 0, 0, 0, 0, 8, 739
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_auctionCommentsv3.html", "HTML", 0, 0, 0, 0, 0, 675, 0, 0, 0, 0, 0, 0, 0, 8, 683
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_auctionCommentsv4.html", "HTML", 0, 0, 0, 0, 0, 675, 0, 0, 0, 0, 0, 0, 0, 8, 683
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_auctionCommentsv5.html", "HTML", 0, 0, 0, 0, 0, 675, 0, 0, 0, 0, 0, 0, 0, 8, 683
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_auctionLikes.html", "HTML", 0, 0, 0, 0, 0, 634, 0, 0, 0, 0, 0, 0, 0, 8, 642
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_auctionPictures.html", "HTML", 0, 0, 0, 0, 0, 713, 0, 0, 0, 0, 0, 0, 0, 8, 721
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\Aukcionas_user_payment_info.html", "HTML", 0, 0, 0, 0, 0, 918, 0, 0, 0, 0, 0, 0, 0, 8, 926
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\BiddingHubTests.cs", "C#", 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 199
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\DailycoServiceTests.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\EmailBodyTests.cs", "C#", 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 228
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\ExtensionsTests.cs", "C#", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 87
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\GetAuqReqTests.cs", "C#", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 80
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\GlobalUsings.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\PaymentTests.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\PaymentUtilsTest.cs", "C#", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 102
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\XUnitTests.csproj", "MSBuild", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\bin\Debug\net8.0\Aukcionas.deps.json", "JSON", 0, 0, 0, 0, 2677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2677
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\bin\Debug\net8.0\Aukcionas.runtimeconfig.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\bin\Debug\net8.0\MvcTestingAppManifest.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\XUnitTests\bin\Debug\net8.0\XUnitTests.deps.json", "JSON", 0, 0, 0, 0, 6840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6840
